,Max Velocity,Avg Velocity,Avg Altitude Drop
2272,5286.425,4785.41,1955265.95
2273,5083.524,4665.61,2210355.85
2274,5284.509,4818.86,2053299.67
2275,5199.749,4772.28,2234535.25
2276,4981.738,4512.15,2156466.37
2277,5113.104,4785.23,2459960.74
2278,5226.557,4829.28,2265744.19
2279,5396.804,4917.07,2103324.89
2280,5800.271,5092.91,1676952.81
2281,4539.424,4277.74,3080602.62
2282,5642.792,5001.54,1806651.24
2283,5149.447,4789.18,2445254.73
2284,5111.493,4674.2,2261486.19
2285,5141.614000000001,4651.89,2186736.51
2286,5035.106,4661.62,2482283.33
2287,5700.713000000002,5099.82,1920121.91
2288,5098.562,4830.07,2887976.52
2289,4953.125,4500.66,2416766.08
2290,4986.427,4756.79,3228688.36
2291,4943.682,4709.69,3235021.47
2292,5169.779,4697.44,2252369.42
2293,5134.721,4559.58,2105730.54
2294,5310.344,4824.96,2279658.93
2295,5208.015,4812.69,2480693.01
2296,5449.116999999998,4913.09,2141225.93
2297,5162.099,4684.05,2318361.74
2298,5259.335,4751.59,2246229.14
2299,5113.8420000000015,4618.38,2345772.31
2300,5004.475,4433.46,2271751.79
2301,4958.42,4588.24,2796754.76
2302,5400.84,4745.88,2066634.06
2303,5052.2840000000015,4461.46,2229244.09
2304,5354.938,4655.86,2030531.36
2305,5029.978,4579.21,2529548.11
2306,5220.318,4705.35,2356043.45
2307,5108.52,4525.91,2286864.09
2308,5136.438,4897.2,3377271.2
2309,5251.596,4732.85,2389917.29
2310,5154.767,4744.39,2699162.76
2311,4819.377,4496.59,3093175.33
2312,5034.791,4734.23,3101935.17
2313,5161.512,4739.45,2724507.34
2314,4997.59,4687.36,3122200.59
2315,5159.0059999999985,4800.14,2860774.84
2316,4844.832,4346.86,2643026.56
2317,5434.038000000001,5050.34,2764437.31
2318,5038.521,4586.94,2665895.16
2319,5421.389,4951.75,2575456.98
2320,4974.075,4665.31,3197106.77
2321,5597.195,4998.14,2254419.74
2322,5152.276,4908.67,3566646.98
2323,5913.227,5199.42,2072755.85
2324,4499.207,4232.06,3806128.13
2325,4845.503,4526.59,3271266.94
2326,4873.622,4641.38,3822879.08
2327,6006.066,5291.7,2104220.46
2328,5118.302,4732.08,3028630.41
2329,5500.273,4728.73,2131151.81
2330,4998.103,4423.26,2617449.31
2331,4838.48,4537.04,3540923.64
2332,4954.837,4648.19,3548095.98
2333,4860.59,4514.69,3234965.59
2334,5556.8690000000015,4844.29,2243210.62
2335,5182.2559999999985,4746.82,2883058.18
2336,5052.112,4500.41,2683613.9
2337,5245.685,4605.21,2431828.49
2338,5240.787,4892.0,3324881.86
2339,4853.897,4620.36,4070110.66
2340,5498.281,4833.14,2381166.43
2341,5170.949000000001,4748.3,3085942.45
2342,5068.87,4616.58,2974539.07
2343,4890.905,4509.62,3243372.95
2344,5566.068,4995.38,2588346.83
2345,5720.155,5179.2,2604079.61
2346,5048.008,4650.52,3292871.54
2347,5005.13,4555.66,3041138.87
2348,5187.281,4911.32,3809016.56
2349,5295.451999999998,4601.14,2475350.13
2350,5088.745,4511.9,2755390.65
2351,5001.19,4567.49,3225024.86
2352,4889.684,4580.15,3694416.54
2353,5575.471,4866.3,2443599.72
2354,5327.166,4538.84,2389317.53
2355,4649.835999999998,4343.42,3950093.82
2356,5612.699000000001,5027.98,2738893.47
2357,4789.205,4564.27,4419355.75
2358,4655.084,4423.08,4425971.53
2359,4855.589,4544.31,3990681.25
2360,5249.649,4491.16,2513242.67
2361,5263.1709999999985,4698.99,2887327.05
2362,5296.596,4749.17,2902027.74
2363,5288.377,4766.01,3023630.21
2364,4806.825,4541.5,4303773.07
2365,4945.712,4358.2,2935002.48
2366,5376.2930000000015,4942.2,3298414.73
2367,5002.798,4640.99,3757057.36
2368,5258.483,4748.05,3074707.06
2369,4824.938,4337.3,3332038.79
2370,5276.85,4916.67,3632186.46
2371,4756.74,4475.92,4403698.32
2372,5212.8290000000015,4567.88,2805548.93
2373,5068.276,4755.79,4016219.66
2374,4644.774,4413.16,4692255.86
2375,5019.62,4404.27,3030266.32
2376,4612.669,4242.19,4048207.78
2377,5153.919,4594.01,3050694.82
2378,5474.861999999999,4680.71,2609121.12
2379,5495.116999999998,4870.7,2887047.47
2380,5651.361,4915.4,2644288.7
2381,5238.354,4702.38,3244877.12
2382,5148.306,4845.01,4387683.81
2383,5444.761,4852.37,3042095.69
2384,4764.608,4395.69,4019134.29
2385,5469.665,5062.53,3548708.91
2386,5518.458000000001,4894.63,2973374.89
2387,5401.78,4806.86,3091979.29
2388,5124.552,4802.4,4277906.73
2389,5409.801,4832.41,3113167.9
2390,5028.91,4766.86,4758512.49
2391,4957.624,4453.48,3489814.8
2392,5420.891,4920.29,3374439.25
2393,5516.812,4948.03,3157516.04
2394,5588.113,4930.85,2971089.37
2395,5003.051,4757.5,4854844.84
2396,4944.904,4602.49,4202148.93
2397,5091.366,4693.86,4028918.17
2398,5392.25,4785.87,3210185.56
2399,5136.577,4796.96,4240804.69
2400,5160.486,4481.88,3127111.4
2401,5036.135,4600.32,3919205.2
2402,5366.4,4777.79,3259257.59
2403,4986.714,4660.74,4508972.1
2404,5042.222,4706.76,4516856.57
2405,5677.156999999998,4985.0,2982552.56
2406,5625.2,4957.92,3097107.66
2407,5131.715,4500.03,3326772.75
2408,5297.773,4831.12,3723508.31
2409,5355.249,4791.82,3471476.28
2410,5470.373000000001,4685.0,2965924.98
2411,4898.049,4559.46,4668835.06
2412,5008.692,4726.54,4909984.64
2413,5006.418,4627.44,4279886.39
2414,5585.804,4954.83,3296891.19
2415,4818.582,4539.82,5212252.08
2416,5631.114000000001,4920.07,3112960.25
2417,4746.646,4456.38,4988885.01
2418,5154.476,4793.84,4348261.51
2419,4816.652,4455.38,4555012.32
2420,4930.512,4707.66,5573758.49
2421,5249.706,4986.96,5286938.86
2422,4878.343,4621.95,5294122.47
2423,5135.365,4727.97,4202317.28
2424,5255.979,4800.06,4045215.57
2425,5199.508,4954.15,5329672.55
2426,5484.54,5061.03,4061843.4
2427,5126.626,4594.39,3774173.91
2428,4693.7159999999985,4464.57,5667894.13
2429,5014.739000000001,4628.53,4445511.97
2430,5903.766,5181.0,3119003.02
2431,4973.136,4589.95,4485016.27
2432,5676.491,4934.54,3146117.04
2433,4795.363,4523.83,5471207.75
2434,4660.129,4355.62,5205383.77
2435,4866.95,4585.3,5485838.39
2436,5341.616,4723.62,3608821.38
2437,5496.541,4952.12,3751716.76
2438,4922.951,4458.85,4213503.0
2439,5094.269,4757.85,4797306.02
2440,4756.851,4519.53,5869842.3
2441,5161.278,4941.96,5876238.1
2442,5714.509,5061.04,3428874.45
2443,4786.128,4465.28,5070524.3
2444,5245.603,4892.91,4639772.54
2445,4700.677,4259.16,4457277.64
2446,5604.109,5009.12,3582511.76
2447,5385.4090000000015,4705.72,3484478.9
2448,5578.934,4857.05,3395039.85
2449,5383.837,4675.63,3521356.34
2450,5222.492,4694.1,4057078.64
2451,4508.93,4237.49,5772617.82
2452,5629.052,5072.19,3797377.19
2453,4654.48,4388.73,5803242.22
2454,5123.172000000001,4587.78,4097752.11
2455,5177.311,4897.11,5539551.53
2456,5626.036999999998,4888.65,3377284.13
2457,5258.651,4799.59,4469054.34
2458,5612.531,4890.75,3509225.59
2459,5326.901999999999,4634.35,3640323.23
2460,5259.6590000000015,4501.9,3544872.65
2461,5559.551,5120.59,4375604.19
2462,5517.438,4957.98,3938495.05
2463,5058.2,4778.64,5718492.84
2464,4982.919,4738.52,6026677.03
2465,5138.0059999999985,4652.53,4417105.43
2466,4898.009,4594.53,5749621.9
2467,5349.422,4929.56,4611491.74
2468,4842.608,4445.77,5022457.95
2469,4932.604,4581.16,5260354.45
2470,5183.801,4785.96,4832755.26
2471,5523.9969999999985,4884.38,3881886.02
2472,4940.758,4616.98,5553807.35
2473,5159.854,4768.31,5080221.18
2474,5547.99,4877.23,3786339.13
2475,4793.177,4438.47,5344788.38
2476,4837.48,4486.69,5607092.42
2477,5274.015,4757.41,4374991.23
2478,5032.247,4634.34,5145289.92
2479,4886.005,4650.63,6580894.53
2480,5304.911999999998,4807.4,4400907.31
2481,5220.258,4747.11,4582783.32
2482,5305.765,4780.08,4425989.59
2483,5225.5459999999985,4467.91,3752874.64
2484,5418.679,4842.45,4156501.84
2485,5221.888,4941.6,6034304.14
2486,5612.549,4905.71,3789693.4
2487,5440.058000000001,4720.34,3808641.57
2488,5022.714,4717.19,6100998.31
2489,4747.808,4496.64,6785016.98
2490,5672.686,5067.67,4088162.46
2491,5328.705,4669.01,4105415.56
2492,5657.151999999999,5021.88,3990709.26
2493,5302.88,4802.09,4595680.6
2494,4560.866,4276.55,6537576.45
2495,5449.78,4912.73,4451061.64
2496,5167.58,4682.19,4806468.5
2497,5467.333000000001,4975.05,4642305.07
2498,5663.928000000001,5014.31,4060411.03
2499,5979.102,5272.92,3833540.35
2500,5290.834,4555.55,3972016.81
2501,5088.982,4688.03,5306981.54
2502,5067.647,4663.21,5317896.49
2503,4895.945,4470.47,5328646.92
2504,5053.616,4673.64,5570259.69
2505,4543.926,4263.2,6750023.44
2506,5609.226,4954.32,4155165.26
2507,5314.416,4877.71,5163763.17
2508,5111.2559999999985,4693.11,5389456.42
2509,5103.427,4687.99,5400066.09
2510,5025.608,4640.05,5644669.17
2511,5314.26,4966.45,5654815.47
2512,5538.18,5095.47,5014808.34
2513,5527.475,4853.49,4222979.12
2514,5116.826,4645.41,5247452.68
2515,5432.391,4976.65,5058675.5
2516,4690.439,4403.22,6929067.05
2517,5626.232,5069.02,4554935.5
2518,5654.009,4905.38,4022235.89
2519,4907.456,4549.06,6042385.74
2520,5402.413000000001,4798.77,4598730.12
2521,5685.587,5072.52,4462604.03
2522,5670.276999999999,5079.24,4479031.53
2523,4986.929,4456.52,5179963.95
2524,5529.691999999999,4859.28,4362528.84
2525,5196.59,4680.8,5022290.15
2526,5144.667,4711.37,5435916.22
2527,5383.731,4790.44,4701214.37
2528,5591.169,4943.51,4415429.56
2529,4754.59,4310.37,5713961.23
2530,5583.771,4871.3,4303716.69
2531,5362.347,4857.05,5114673.08
2532,5553.038000000001,4798.17,4204279.53
2533,4795.332,4396.73,6042116.87
2534,5028.303,4584.34,5570587.71
2535,4636.886,4301.29,6970399.47
2536,5348.268,4603.55,4375693.81
2537,5563.7159999999985,4813.41,4263075.79
2538,5130.181,4693.19,5639081.73
2539,5285.364000000001,4784.7,5234964.79
2540,5286.656999999998,4934.12,6155600.37
2541,5010.8690000000015,4733.1,7458015.46
2542,4899.384,4565.07,6755775.89
2543,4845.947,4463.99,6457359.22
2544,5347.179,4558.51,4324612.21
2545,5096.254,4625.54,5719542.97
2546,5041.928,4688.91,6508308.76
2547,4670.644,4362.83,7166805.29
2548,5644.669,5004.76,4641470.74
2549,5822.615,5176.76,4658165.13
2550,4981.29,4694.95,7227765.84
2551,4805.46,4494.06,7235148.65
2552,5216.2040000000015,4703.89,5372891.54
2553,5060.127,4619.21,5814525.58
2554,5178.42,4623.5,5206070.61
2555,5574.946,4868.46,4573664.49
2556,5507.528,4936.9,5062105.35
2557,5092.212,4540.4,5449985.32
2558,5367.133000000002,5022.84,6697232.72
2559,4823.297000000001,4428.57,6416482.5
2560,5133.432,4765.6,6426511.2
2561,5434.781,4863.02,5112524.67
2562,5932.726,5235.06,4512489.7
2563,4799.922000000001,4514.9,7453541.95
2564,5026.4540000000015,4751.16,7461319.04
2565,4946.516,4601.89,7113834.52
2566,4915.15,4689.21,8305976.49
2567,5417.72,4859.25,5353335.3
2568,4621.702,4283.57,7146309.26
2569,5411.743,4727.07,4859114.39
2570,4805.022,4378.48,6287273.57
2571,4991.485,4724.3,7948569.25
2572,5075.705,4595.66,5821235.25
2573,5427.718000000002,4771.26,5060794.61
2574,4703.95,4372.52,7238605.85
2575,5311.441,4742.32,5442866.04
2576,5569.306,4942.86,5097231.95
2577,5101.578,4610.14,5894436.22
2578,4875.38,4561.86,7306685.25
2579,5039.432,4800.11,8083171.77
2580,5653.335,5104.64,5311584.07
2581,5207.471,4582.75,5327739.02
2582,5308.021,4713.46,5343577.3
2583,4949.165,4441.26,5972550.39
2584,4649.6709999999985,4371.42,8179959.3
2585,5026.699000000001,4707.24,7409189.88
2586,5347.838000000002,4812.2,5571532.31
2587,4873.509,4516.03,7100120.68
2588,5527.222,4985.12,5592666.96
2589,5523.5,4738.28,4764367.49
2590,4928.291,4428.01,6059838.49
2591,4850.323,4594.98,8299802.19
2592,5282.313,4579.54,5105115.09
2593,5435.441999999999,4987.39,6099712.04
2594,4738.112,4484.93,8816723.32
2595,4682.894,4391.38,8359286.31
2596,5420.785,4840.56,5492194.03
2597,5772.651999999999,5080.09,4996826.12
2598,5527.8290000000015,4827.43,5015484.56
2599,5236.782,4674.63,5746871.99
2600,5199.036,4841.74,7322769.32
2601,5354.087,4564.96,4901448.75
2602,5178.9659999999985,4623.56,5791340.02
2603,4847.487,4494.45,7729554.16
2604,4960.459,4619.65,7387689.12
2605,5372.583000000001,4713.0,5433353.1
2606,5086.8420000000015,4499.8,5836385.09
2607,4715.326,4438.32,8607839.38
2608,5304.693,4770.37,6070137.76
2609,5458.514,4902.9,5866992.4
2610,5262.1190000000015,4601.32,5492927.65
2611,5093.705,4695.97,7174038.91
2612,5547.764,5081.86,6358245.12
2613,5147.708,4847.06,7880879.51
2614,5418.061,4693.27,5190717.89
2615,5128.362,4663.64,6655249.05
2616,5397.821,4790.56,5752001.12
2617,5719.889,5066.69,5397701.32
2618,5622.0,4937.2,5247706.69
2619,4868.008,4625.98,9335454.7
2620,5315.460999999998,4850.23,6475528.52
2621,5359.885,4928.57,6746748.37
2622,5643.036,4994.92,5458140.7
2623,5710.31,4955.39,5146339.88
