,Max Velocity,Avg Velocity
1017,173.0,128.01
1018,134.0,109.84
1019,60.0,58.83
1020,161.0,142.6
1021,197.0,143.22
1022,129.0,93.29
1023,139.0,104.18
1024,65.0,64.83
1025,159.0,104.93
1026,92.0,92.0
1027,186.0,128.71
1028,213.0,149.31
1029,142.0,110.41
1030,76.0,76.0
1031,112.0,105.71
1032,137.0,102.24
1033,147.0,114.98
1034,199.0,151.04
1035,245.0,175.49
1036,109.0,83.59
1037,76.0,61.43
1038,160.0,107.35
1039,135.0,96.21
1040,149.0,129.67
1041,193.0,155.27
1042,80.0,74.94
1043,139.0,96.69
1044,209.0,152.87
1045,204.0,130.34
1046,150.0,140.15
1047,157.0,114.0
1048,68.0,61.92
1049,135.0,101.11
1050,163.0,130.85
1051,156.0,108.14
1052,236.0,151.98
1053,154.0,113.16
1054,134.0,127.21
1055,161.0,111.84
1056,202.0,158.68
1057,212.0,147.65
1058,145.0,103.55
1059,211.0,155.48
1060,147.0,120.99
1061,207.0,149.76
1062,141.0,104.22
1063,135.0,104.32
1064,142.0,114.05
1065,169.0,93.97
1066,156.0,106.97
1067,224.0,145.73
1068,189.0,123.8
1069,193.0,154.52
1070,189.0,146.84
1071,150.0,110.65
1072,146.0,112.95
1073,200.0,144.91
1074,135.0,99.64
1075,155.0,113.97
1076,195.0,131.27
1077,218.0,169.04
1078,185.0,142.17
1079,153.0,113.5
1080,147.0,101.03
1081,53.0,39.59
1082,198.0,150.47
1083,150.0,114.07
1084,151.0,98.63
1085,245.0,176.47
1086,147.0,105.56
1087,30.0,29.24
1088,122.0,92.32
1089,208.0,150.0
1090,141.0,106.99
1091,234.0,166.87
1092,209.0,164.16
1093,226.0,166.8
1094,146.0,104.53
1095,199.0,148.38
1096,185.0,132.35
1097,236.0,156.2
1098,145.0,107.99
1099,150.0,106.0
1100,195.0,148.06
1101,140.0,104.81
1102,72.0,68.57
1103,204.0,153.97
1104,145.0,112.56
1105,153.0,108.34
1106,209.0,159.63
1107,166.0,120.98
1108,217.0,151.74
1109,36.0,28.82
1110,158.0,125.32
1111,158.0,118.61
1112,69.0,67.74
1113,131.0,100.83
1114,214.0,143.14
1115,196.0,148.89
1116,133.0,102.34
1117,68.0,52.65
1118,150.0,106.43
1119,166.0,133.75
1120,163.0,126.27
1121,146.0,105.06
1122,131.0,96.35
1123,138.0,105.26
1124,191.0,148.37
1125,149.0,113.37
1126,144.0,106.18
1127,213.0,156.89
1128,211.0,155.45
1129,210.0,152.05
1130,127.0,103.25
1131,170.0,165.32
1132,141.0,113.5
1133,154.0,107.84
1134,47.0,38.04
1135,131.0,101.3
1136,202.0,148.27
1137,54.0,50.64
1138,217.0,154.82
1139,223.0,169.7
1140,185.0,117.42
1141,139.0,98.98
1142,218.0,162.96
1143,137.0,93.94
1144,164.0,122.96
1145,144.0,105.03
1146,121.0,96.8
1147,245.0,142.95
1148,148.0,99.92
1149,140.0,110.44
1150,177.0,125.47
1151,34.0,33.85
1152,150.0,104.82
1153,49.0,39.04
1154,58.0,51.02
1155,199.0,135.66
1156,128.0,96.86
1157,221.0,166.8
1158,207.0,145.95
1159,149.0,106.38
1160,150.0,108.9
1161,208.0,157.96
1162,123.0,96.81
1163,214.0,146.05
1164,242.0,168.05
1165,231.0,162.91
1166,77.0,62.87
1167,120.0,92.49
1168,118.0,79.82
1169,135.0,107.47
1170,217.0,158.28
1171,76.0,60.58
1172,161.0,118.48
1173,146.0,108.5
1174,170.0,139.54
1175,239.0,161.22
1176,133.0,101.38
1177,164.0,108.48
1178,204.0,148.64
1179,153.0,109.54
1180,133.0,98.79
1181,72.0,62.19
1182,221.0,171.41
1183,161.0,109.43
1184,240.0,179.98
1185,249.0,170.18
1186,131.0,126.14
1187,144.0,110.89
1188,132.0,95.61
1189,146.0,132.76
1190,165.0,111.65
1191,127.0,109.16
1192,44.0,33.6
1193,163.0,123.68
1194,52.0,46.57
1195,199.0,151.84
1196,49.0,46.85
1197,161.0,101.04
1198,147.0,113.58
1199,158.0,116.46
1200,245.0,168.25
1201,149.0,104.95
1202,156.0,99.13
1203,148.0,117.61
1204,211.0,155.2
1205,175.0,113.89
1206,61.0,53.47
1207,175.0,144.23
1208,73.0,70.74
1209,204.0,160.54
1210,158.0,98.76
1211,204.0,159.97
1212,151.0,111.28
1213,170.0,116.38
1214,162.0,119.18
1215,180.0,138.68
1216,120.0,85.63
1217,89.0,81.5
1218,154.0,114.6
1219,151.0,95.93
1220,160.0,123.43
1221,146.0,108.52
1222,66.0,42.79
1223,137.0,101.95
1224,148.0,109.95
1225,139.0,101.73
